S. No,participant_id,distribution_type,distribution_name,engagement_id,engagement_started_EDT,engagement_completed_EDT,engagement_participation_status,BrokerPanelId,Overquota_redirect_ARF_return_token,Q1_Location_in_BC,DQ_redirect_not_in_BC_return_token,Q1_Experience_with_AI,Q2_Experience_with_AI_animal,Q2_Experience_with_AI_animal_other_OE,Q2_Experience_with_AI_animal_other_OE_sentiment,Q2_Experience_with_AI_animal_other_OE_sentiment_percentage,Q3_AI_affecting_society_feeling,Q4A_Sector_AI_making_a_positive_impact_1,Q4A_Sector_AI_making_a_positive_impact_2,Q4A_Sector_AI_making_a_positive_impact_3,Q4A_Sector_AI_making_a_positive_impact_4,Q4A_Sector_AI_making_a_positive_impact_5,Q4A_Sector_AI_making_a_positive_impact_6,Q4A_Sector_AI_making_a_positive_impact_7,Q4A_Sector_AI_making_a_positive_impact_other_OE,Q4A_Sector_AI_making_a_positive_impact_other_OE_sentiment,Q4A_Sector_AI_making_a_positive_impact_other_OE_sentiment_percentage,Q4B_Sector_AI_making_a_negative_impact_1,Q4B_Sector_AI_making_a_negative_impact_2,Q4B_Sector_AI_making_a_negative_impact_3,Q4B_Sector_AI_making_a_negative_impact_4,Q4B_Sector_AI_making_a_negative_impact_5,Q4B_Sector_AI_making_a_negative_impact_6,Q4B_Sector_AI_making_a_negative_impact_7,Q4B_Sector_AI_making_a_negative_impact_other_OE,Q4B_Sector_AI_making_a_negative_impact_other_OE_sentiment,Q4B_Sector_AI_making_a_negative_impact_other_OE_sentiment_percentage,Q5_Art_vibe_AI,Q5_Art_vibe_AI_other_OE,Q5_Art_vibe_AI_other_OE_sentiment,Q5_Art_vibe_AI_other_OE_sentiment_percentage,Q6_AI_role_in_creative_fields_in_BC,Q7_AI_and_environment,Q8_AI_helping_BC_community,Q8_AI_helping_BC_community_video_OE_transcription,Q8_AI_helping_BC_community_video_OE_sentiment,Q8_AI_helping_BC_community_video_OE_sentiment_percentage,Q8_AI_helping_BC_community_text_OE,Q8_AI_helping_BC_community_text_OE_sentiment,Q8_AI_helping_BC_community_text_OE_sentiment_percentage,Q9_Jobs_in_BC_AI_Influence,Q10_AI_superpower_to_help_community,Q10_AI_superpower_to_help_community_other_OE,Q10_AI_superpower_to_help_community_other_OE_sentiment,Q10_AI_superpower_to_help_community_other_OE_sentiment_percentage,Q11_Gainer_advances_in_AI_1,Q11_Gainer_advances_in_AI_2,Q11_Gainer_advances_in_AI_3,Q11_Gainer_advances_in_AI_4,Q11_Gainer_advances_in_AI_5,Q11_Gainer_advances_in_AI_6,Q11_Gainer_advances_in_AI_other_OE,Q11_Gainer_advances_in_AI_other_OE_sentiment,Q11_Gainer_advances_in_AI_other_OE_sentiment_percentage,Q12_Most_trustworthy_advances_in_AI_1,Q12_Most_trustworthy_advances_in_AI_2,Q12_Most_trustworthy_advances_in_AI_3,Q12_Most_trustworthy_advances_in_AI_4,Q12_Most_trustworthy_advances_in_AI_5,Q12_Most_trustworthy_advances_in_AI_6,Q12_Most_trustworthy_advances_in_AI_7,Q12_Most_trustworthy_advances_in_AI_other_OE,Q12_Most_trustworthy_advances_in_AI_other_OE_sentiment,Q12_Most_trustworthy_advances_in_AI_other_OE_sentiment_percentage,Q13_AI_impact_worries,Q13_AI_impact_worries_videos_OE_transcription,Q13_AI_impact_worries_videos_OE_sentiment,Q13_AI_impact_worries_videos_OE_sentiment_percentage,Q13_AI_impact_worries_text_OE,Q13_AI_impact_worries_text_OE_sentiment,Q13_AI_impact_worries_text_OE_sentiment_percentage,Q14_Govt_role_in_managing_AI,Q15_Matters_most_BC_AI_future_1,Q15_Matters_most_BC_AI_future_2,Q15_Matters_most_BC_AI_future_3,Q15_Matters_most_BC_AI_future_4,Q15_Matters_most_BC_AI_future_5,Q15_Matters_most_BC_AI_future_6,Q15_Matters_most_BC_AI_future_7,Q15_Matters_most_BC_AI_future_other_OE,Q15_Matters_most_BC_AI_future_other_OE_sentiment,Q15_Matters_most_BC_AI_future_other_OE_sentiment_percentage,Q16_Indigenous_communities_involvement_AI,Q16_Indigenous_communities_involvement_AI_video_OE_transcription,Q16_Indigenous_communities_involvement_AI_video_OE_sentiment,Q16_Indigenous_communities_involvement_AI_video_OE_sentiment_percentage,Q16_Indigenous_communities_involvement_AI_text_OE,Q16_Indigenous_communities_involvement_AI_text_OE_sentiment,Q16_Indigenous_communities_involvement_AI_text_OE_sentiment_percentage,Q17_Advice_BC_Leaders,Q17_Advice_BC_Leaders_video_OE_transcription,Q17_Advice_BC_Leaders_video_OE_sentiment,Q17_Advice_BC_Leaders_video_OE_sentiment_percentage,Q17_Advice_BC_Leaders_text_OE,Q17_Advice_BC_Leaders_text_OE_sentiment,Q17_Advice_BC_Leaders_text_OE_sentiment_percentage,Completion_redirect_ARF_return_token,Age,AgeRollup_Broad,Gender,Year of Birth,Education,HH_Income_Fine_23,FirstNation_23,,Ethnicity_Roll_23,Vizmin_23,HH_Comp_23,KidsinHH_23,,,HH_Under18_23,Urban/ Rural
1,374879fe-534a-465b-9dfe-4ce1fad520c7,Link,ARF,2a9c1253-511e-4aa6-9c9a-9d5ff73d9f34,2025-07-02 18:14,2025-07-02 18:21,Completed,arfid004D0A8C-90B9-4888-811F-0A26D5638D42,,Vancouver / Lower Mainland,,Regular user – I use AI often for work or personal stuff.,Chameleon – Always adapting,,,,Mixed/neutral – I see both the good and the bad.,Healthcare and medicine,,"Arts, culture, and media",,Government and public services,,,,,,,Environment and climate,,Jobs and the economy,,,,,,,Abstract installation – weird but interesting,,,,Mostly enhance creativity – AI tools will boost creative output.,"Could be harmful – AI might worsen things (e.g., energy use).",I'll type my answer 📲,,,,I hope for a post-scarcity future,POSITIVE,0.781920075,It’ll mostly change jobs—not create or destroy them outright.,Making public services smarter,,,,Large corporations,,,,,,,,,Government and public institutions,,Academic and research institutions,,,,,,,,I'll type my answer 📲,,,,Losing my job,NEGATIVE,0.994511843,Balanced approach – Encourage innovation and set smart rules.,,Privacy and data protection,Economic growth and innovation,Social and environmental good,,,,,,,I'll type my answer 📲,,,,We should not value or devalue anyone's voice on the basis of their ethnicity,NEGATIVE,0.723726153,I'll type my answer 📲,,,,People need to survive,POSITIVE,0.553197622,,32,18-34,Male,1993,"University undergraduate degree, such as a bachelor's degree","$150,000 to less than $200,000",No ,,Chinese,Visible minority,Two people [you and one other],Expecting a baby,,,Yes,Urban
2,bf43b51c-d146-4b50-8c6b-4dc9e330bcb8,Link,ARF,0503871c-87eb-413b-95b3-a09eea76a977,2025-06-29 11:52,2025-06-29 12:09,Completed,arfid005BA6BD-16FE-4AB6-B99D-58E6A948402C,,Vancouver / Lower Mainland,,No experience – I haven’t really used AI and don’t know much about it.,Chameleon – Always adapting,,,,Mostly optimistic – I think it’ll do more good than harm.,Healthcare and medicine,,,Jobs and the economy,Government and public services,,,,,,Healthcare and medicine,,,Jobs and the economy,Government and public services,,,,,,Abstract installation – weird but interesting,,,,Mostly enhance creativity – AI tools will boost creative output.,"Helpful, if used responsibly – It depends on good management.",I'll type my answer 📲,,,,I’m 92. I believe new ideas will be delivered,POSITIVE,0.730961978,It’ll create more jobs than it takes away.,Making public services smarter,,,,Large corporations,,,,,,,,,Government and public institutions,Tech industry leaders,Academic and research institutions,,,,,,,,I'll type my answer 📲,,,,I see no useful benefit. That’s because I’m old.,NEGATIVE,0.968189657,Balanced approach – Encourage innovation and set smart rules.,Ethical and unbiased AI,,Economic growth and innovation,Social and environmental good,,,,,,,I'll type my answer 📲,,,,Be a quick study into the benefits ,NEUTRAL,0.793356359,I'll type my answer 📲,,,,Expand the thinking and possibilities of artificial intellience,NEUTRAL,0.570896506,,93,55 Plus,Male,1932,Some university,"$110,000 to less than $120,000",No ,,White,Not a visible minority,Two people [you and one other],18 years of age or more ,,,"No, no one under 18 here ",Urban
3,d966a04c-2349-4a88-9ef4-5fa9c646571a,Link,ARF,807b0983-b7f8-4e94-95f5-5e4da7584319,2025-06-26 17:20,2025-06-26 17:28,Completed,arfid00C375EB-7A63-43DB-9071-C49B7B0289D4,,Vancouver / Lower Mainland,,Occasional user – I’ve tried a few tools like ChatGPT or an AI art app.,Owl – Wise and curious,,,,Mixed/neutral – I see both the good and the bad.,Healthcare and medicine,,,,,,,,,,,,"Arts, culture, and media",Jobs and the economy,Government and public services,,,,,,Abstract installation – weird but interesting,,,,Mostly harm creativity – AI might replace or devalue artists’ work.,Not much impact – It won’t make a big difference.,I'll type my answer 📲,,,,"Improving Healthcare and making it more effective, efficient, and accessible.",POSITIVE,0.987890065,It’ll eliminate more jobs than it creates.,Making public services smarter,,,,Large corporations,,,,,,,,,,,,,,,None of the above,,,,I'll type my answer 📲,,,,AI will likely replace jobs which is not good and it will also devalue the creative ability of human artwork and ingenuity. ,NEGATIVE,0.651718795,Balanced approach – Encourage innovation and set smart rules.,Ethical and unbiased AI,Privacy and data protection,Economic growth and innovation,,,,,,,,I'll type my answer 📲,,,,"I have no thoughts on how indigenous communities should be involved. They should be just as involved as everyone else is. No more, no less ",POSITIVE,0.456227511,I'll type my answer 📲,,,,Focus on ethical use and promotion of AI. It's here whether we like it or not so but we should take a long hard look about how we can use it in positive and constructive ways.,POSITIVE,0.888592601,,26,18-34,Male,1999,"University undergraduate degree, such as a bachelor's degree","$50,000 to less than $60,000",No ,,White,Not a visible minority,Three people [you and two others],Do not have children ,,,"No, no one under 18 here ",Urban
4,f28a7782-9af5-4ad6-ad42-7ee415f58392,Link,ARF,69a163d2-400e-4e16-938c-3ab57dc51245,2025-06-28 1:23,2025-06-28 1:26,Completed,arfid00C71D6B-F488-493F-82BB-36141F650168,,Vancouver / Lower Mainland,,Regular user – I use AI often for work or personal stuff.,I have no idea!,,,,Mixed/neutral – I see both the good and the bad.,Healthcare and medicine,,,,,,,,,,,,,Jobs and the economy,,,,,,,Not sure,,,,"Mixed effects – Some help, some harm.",Not sure,I'll type my answer 📲,,,,I have no idea ,NEUTRAL,0.929773927,Not sure,Not sure,,,,,,The general public,,,,,,,,,,,,Not sure,,,,,I'll type my answer 📲,,,,A takeover ,NEUTRAL,0.761589885,Not sure,,Privacy and data protection,,Social and environmental good,,,,,,,I'll type my answer 📲,,,,They probably shouldn't ,NEGATIVE,0.769724309,I'll type my answer 📲,,,,Don't let it take jobs away ,NEGATIVE,0.524500549,,48,35-54,Female,1977,High school graduate,"$75,000 to less than $100,000",No ,,South Asian,Visible minority,Four people [you and three others],13-17 years of age,,,Yes,Urban
5,5265b3a2-14dc-4e40-a2a6-6a557a750e34,Link,ARF,ad3eb2d7-780b-4cad-a27f-71ce6bca7c64,2025-07-02 12:23,2025-07-02 12:50,Completed,arfid00DBF085-1C4A-4A10-8A74-716DE3822C70,,Vancouver / Lower Mainland,,Occasional user – I’ve tried a few tools like ChatGPT or an AI art app.,Chameleon – Always adapting,,,,Mostly concerned – I’m more worried about the downsides.,,,,,Government and public services,,,,,,,,,Jobs and the economy,,,,,,,Abstract installation – weird but interesting,,,,"Mixed effects – Some help, some harm.","Could be harmful – AI might worsen things (e.g., energy use).",I'll type my answer 📲,,,,Answering questions on healthcare for people who have no doctor.  Sometimes it will be correct if given enough correct input.,POSITIVE,0.492617965,It’ll eliminate more jobs than it creates.,Making public services smarter,,,,Large corporations,Small businesses and startups,,,,,,,,,,Academic and research institutions,,,,,,,,I'll type my answer 📲,,,,Job loss.  AI unregulated in weapons systems. ,NEGATIVE,0.895293355,Balanced approach – Encourage innovation and set smart rules.,,Privacy and data protection,Economic growth and innovation,,,,,,,,I'll type my answer 📲,,,,"I'm sure the BC NDP will spend millions ensuring an unequal portion of AI is seemed to be given to natives and recent immigrants, and restricting any positive impacts to those who work and pay the tax's. ",MIXED,0.586902499,I'll type my answer 📲,,,,"My ideal would be to disband the NDP, but as that's unlikely, use a hands off approach. ",NEGATIVE,0.456881464,,63,55 Plus,Male,1962,Some college/trade school,"$75,000 to less than $100,000",No ,,White,Not a visible minority,Two people [you and one other],18 years of age or more ,,,"No, no one under 18 here ",Urban
6,cc55aca9-f9b8-436d-8057-8ff48581c271,Link,ARF,55c58a73-e3f6-48b8-9e7d-b29f5ef15083,2025-07-02 11:59,2025-07-02 12:07,Completed,arfid00FE1DDA-505E-4FEB-AB00-647262938653,,Vancouver / Lower Mainland,,Occasional user – I’ve tried a few tools like ChatGPT or an AI art app.,Other,Alien,NEUTRAL,0.999776304,Mostly concerned – I’m more worried about the downsides.,,,,,,Other,,No benefit,NEGATIVE,0.996494949,,Environment and climate,"Arts, culture, and media",Jobs and the economy,,,,,,,Other,evil,NEUTRAL,0.990549982,Mostly harm creativity – AI might replace or devalue artists’ work.,"Could be harmful – AI might worsen things (e.g., energy use).",I'll type my answer 📲,,,,It will not help us it is going to kill society and creativity as we know it,NEGATIVE,0.818407476,It’ll eliminate more jobs than it creates.,Not sure,,,,,,,,Other,,No gains only losses,NEGATIVE,0.582599103,,,Academic and research institutions,Community and Indigenous leaders,,,,,,,I'll type my answer 📲,,,,"Unchecked it will destroy the education system, the arts sector, the environment and society. AI has the power to make us dumber and hurt us. We should consider the power and restrict how we utilize it.",NEGATIVE,0.89292407,Balanced approach – Encourage innovation and set smart rules.,Ethical and unbiased AI,Privacy and data protection,,Social and environmental good,,,,,,,I'll type my answer 📲,,,,"Unsure, leave it to them .",NEUTRAL,0.571596324,I'll type my answer 📲,,,,"Restrictions, and hard thinking about how it could destroy many things.",NEGATIVE,0.585025847,,29,18-34,Female,1996,"University graduate degree, such as a master's or PhD","$75,000 to less than $100,000",No ,,White,Not a visible minority,One in total [you live alone],Do not have children ,,,"No, no one under 18 here ",Urban
7,fd0249c1-00e1-4ca9-bf03-96c82710eb5d,Link,ARF,4a06a278-5375-45c6-b0c3-b3db03eefd54,2025-07-02 11:14,2025-07-02 11:23,Completed,arfid0164F39D-F83F-4D2A-ACA8-98C2B4D9952A,,Vancouver / Lower Mainland,,Aware but not a user – I’ve heard about AI but haven’t used it myself.,Tiger – Bold and powerful,,,,Mostly concerned – I’m more worried about the downsides.,Healthcare and medicine,,,,,,,,,,,Environment and climate,,Jobs and the economy,Government and public services,,,,,,Sci-fi epic – bold and futuristic,,,,Mostly harm creativity – AI might replace or devalue artists’ work.,"Could be harmful – AI might worsen things (e.g., energy use).",I'll type my answer 📲,,,,"In Healthcare, help free up the doctors time to help people ",POSITIVE,0.896036267,It’ll eliminate more jobs than it creates.,I’d take AI’s powers away!,,,,,,,,Other,,"I think no one. It will take away jobs, security and is harmful for environment ",NEGATIVE,0.961660981,Government and public institutions,,,,,,,,,,I'll type my answer 📲,,,,Our security! Also taking away jobs from people. Already hard enough to get job,NEGATIVE,0.810880721,"Strong regulation – Focus on safety and ethics, even if it slows innovation.",,Privacy and data protection,,Social and environmental good,,,,,,,I'll type my answer 📲,,,,"No, should be strong government rules and regulations ",NEUTRAL,0.556721389,I'll type my answer 📲,,,,Please make strong regulations and watch environmental impacts ,POSITIVE,0.512018859,,50,35-54,Female,1975,Graduated from college/trade school,Prefer not to say,No ,,White,Not a visible minority,Three people [you and two others],18 years of age or more ,,,"No, no one under 18 here ",Urban
8,1a7b62f2-6d93-4115-a4be-1741e3c74b94,Link,ARF,597f6f01-508a-4d56-b80e-7e0bd6c40b93,2025-06-29 11:33,2025-06-29 11:52,Completed,arfid01AC52A1-6A5C-4E9C-910F-EC1AC24ECD5B,,Prince George,,Aware but not a user – I’ve heard about AI but haven’t used it myself.,I have no idea!,,,,Mostly concerned – I’m more worried about the downsides.,,,,,,,Not sure,,,,,,,Jobs and the economy,,,,,,,Not sure,,,,"Mixed effects – Some help, some harm.","Helpful, if used responsibly – It depends on good management.",I'll type my answer 📲,,,,I have mo idea.,NEUTRAL,0.8763026,It’ll eliminate more jobs than it creates.,I’d take AI’s powers away!,,,,Large corporations,,,,,,,,,,,Academic and research institutions,Community and Indigenous leaders,,,,,,,I'll type my answer 📲,,,,Taking jobs from people. Getting in the wrong hands and used by criminals and leaders with nefarious intentions.,NEGATIVE,0.948798895,Balanced approach – Encourage innovation and set smart rules.,Ethical and unbiased AI,,Economic growth and innovation,Social and environmental good,,,,,,,I'll type my answer 📲,,,,I don't know,NEUTRAL,0.990944505,I'll type my answer 📲,,,,Use it to benefit all people but especially our most vulnerable.,POSITIVE,0.729850709,,54,35-54,Female,1971,Some college/trade school,"$120,000 to less than $150,000",No ,,White,Not a visible minority,Three people [you and two others],10-12 years of age,,,Yes,Urban
9,5d33c6e9-01e9-4320-bbd8-689e0c8b05b4,Link,ARF,00101c6f-59e0-47d6-917e-19ad0c054040,2025-06-30 15:26,2025-06-30 15:32,Completed,arfid01E3A89F-6B65-4A9D-B7A9-C160FB234DBE,,Vancouver / Lower Mainland,,Occasional user – I’ve tried a few tools like ChatGPT or an AI art app.,I have no idea!,,,,Mostly concerned – I’m more worried about the downsides.,Healthcare and medicine,,,,,,,,,,,,"Arts, culture, and media",Jobs and the economy,,,,,,,Other,Anything we told it to be,NEUTRAL,0.954155326,Mostly harm creativity – AI might replace or devalue artists’ work.,"Helpful, if used responsibly – It depends on good management.",I'll type my answer 📲,,,,"Assign certain jobs to AI, free up resources to give people better salaries or more time off ",POSITIVE,0.573084831,It’ll mostly change jobs—not create or destroy them outright.,Not sure,,,,Large corporations,,,,,,,,,,,,,,,None of the above,,,,I'll type my answer 📲,,,,"That despite the ability for AI to do jobs, we will still be forced to work to make ends meet and live in a province that is far too expensive to live",NEGATIVE,0.679539204,"Strong regulation – Focus on safety and ethics, even if it slows innovation.",Ethical and unbiased AI,Privacy and data protection,,,,,,,,,I'll type my answer 📲,,,,I don’t know that indigenous communities have a particularly important role different than any other community ,NEUTRAL,0.953826129,I'll type my answer 📲,,,,Take it slow. ,NEUTRAL,0.520814121,,40,35-54,Male,1985,"University graduate degree, such as a master's or PhD","$100,000 to less than $110,000",No ,,White,Not a visible minority,Two people [you and one other],Do not have children ,,,"No, no one under 18 here ",Urban
10,c90b6f4a-45e3-4cdf-82ce-548efb35a071,Link,ARF,ebbe00fd-dda6-4883-9b64-e65273052e1a,2025-07-01 17:56,2025-07-01 18:09,Completed,arfid033BE09A-07B7-4B17-B607-AF1EC227E436,,Kelowna,,Occasional user – I’ve tried a few tools like ChatGPT or an AI art app.,Snail – Slow but steady,,,,Mixed/neutral – I see both the good and the bad.,Healthcare and medicine,,,,,,,,,,,,,Jobs and the economy,,,,,,,Abstract installation – weird but interesting,,,,"Mixed effects – Some help, some harm.",Not much impact – It won’t make a big difference.,I'll type my answer 📲,,,,"I think its too early to tell. Its like the early days of the internet. Fun and interesting, then the harm starts. ie phishing, porn, identity theft, online gaming.....",MIXED,0.872052252,It’ll mostly change jobs—not create or destroy them outright.,Supporting elders and caregivers,,,,Large corporations,,,,,,,,,,,,,,,None of the above,,,,I'll type my answer 📲,,,,i am nearing the end of my worklife. I'm not concerned about me.,POSITIVE,0.622366428,Hands-off promotion – Support innovation with minimal rules.,,Privacy and data protection,,,,,,,,,I'll type my answer 📲,,,,They are part of BC. Why would they have anything more to say than any other BC citizen? ,NEUTRAL,0.913309574,I'll type my answer 📲,,,,Hands off. ,NEGATIVE,0.540858388,,66,55 Plus,Female,1959,Some college/trade school,"$50,000 to less than $60,000",No ,,White,Not a visible minority,Two people [you and one other],18 years of age or more ,,,"No, no one under 18 here ",Urban
